term_id,term_str,n,stop
1159,need,53,0
1160,wroth,53,0
1161,canst,53,0
1162,salute,52,0
1163,scribe,52,0
1164,widow,52,0
1165,goest,52,0
1166,neighbors,52,0
1167,lieth,52,0
1168,rehoboam,52,0
1169,weeping,52,0
1170,esther,52,0
1171,queen,52,0
1172,governor,52,0
1173,midian,52,0
1174,borders,52,0
1175,named,52,0
1176,wonders,52,0
1177,else,52,0
1178,tower,52,0
1179,shepherd,52,0
1180,borne,51,0
1181,lambs,51,0
1182,hills,51,0
1183,transgression,51,0
1184,bodies,51,0
1185,pillar,51,0
1186,vessel,51,0
1187,fair,51,0
1188,thoughts,51,0
1189,secret,51,0
1190,supplication,51,0
1191,drive,51,0
1192,forsake,51,0
1193,jehoiada,51,0
1194,laban,51,0
1195,garden,51,0
1196,promise,51,0
1197,brook,51,0
1198,tomorrow,51,0
1199,builded,51,0
1200,parable,51,0
1201,friends,51,0
1202,inquire,51,0
1203,latter,51,0
1204,needy,51,0
1205,consume,51,0
1206,purple,51,0
1207,zadok,51,0
1208,trumpets,51,0
1209,ephah,50,0
1210,haman,50,0
1211,former,50,0
1212,red,50,0
1213,stumble,50,0
1214,driven,50,0
1215,shield,50,0
1216,fortified,50,0
1217,terror,50,0
1218,stars,50,0
1219,judges,50,0
1220,gift,50,0
1221,kindness,50,0
1222,entrance,50,0
1223,breath,50,0
1224,nine,50,0
1225,remained,50,0
1226,camels,50,0
1227,next,50,0
1228,ephod,49,0
1229,blue,49,0
1230,davids,49,0
1231,shepherds,49,0
1232,exceedingly,49,0
1233,fields,49,0
1234,multiply,49,0
1235,scarlet,49,0
1236,chambers,49,0
1237,joash,49,0
1238,azariah,49,0
1239,following,49,0
1240,towns,49,0
1241,strangers,49,0
1242,snare,49,0
1243,just,49,1
1244,fill,49,0
1245,countenance,49,0
1246,tarry,49,0
1247,talents,49,0
1248,whoso,49,0
1249,transgressions,49,0
1250,distress,49,0
1251,base,49,0
1252,soon,48,0
1253,zebulun,48,0
1254,itself,48,1
1255,measured,48,0
1256,finished,48,0
1257,multiplied,48,0
1258,quickly,48,0
1259,weep,48,0
1260,sodom,48,0
1261,touch,48,0
1262,steps,48,0
1263,thorns,48,0
1264,pharaohs,48,0
1265,witnesses,48,0
1266,dwelleth,48,0
1267,kind,48,0
1268,teeth,48,0
1269,rejected,48,0
1270,forgiven,48,0
1271,speech,48,0
1272,vengeance,48,0
1273,remembrance,48,0
1274,bought,47,0
1275,recompense,47,0
1276,ishmael,47,0
1277,staff,47,0
1278,countries,47,0
1279,spear,47,0
1280,jesse,47,0
1281,chamber,47,0
1282,despised,47,0
1283,bind,47,0
1284,decree,47,0
1285,boat,47,0
1286,lions,47,0
1287,ends,47,0
1288,staves,47,0
1289,bullocks,47,0
1290,forasmuch,47,0
1291,touched,47,0
1292,slept,47,0
1293,wheat,47,0
1294,sackcloth,47,0
1295,hard,47,0
1296,forest,47,0
1297,looking,47,0
1298,sinners,47,0
1299,loud,47,0
1300,weary,47,0
1301,simeon,46,0
1302,veil,46,0
1303,raiment,46,0
1304,gifts,46,0
1305,interpretation,46,0
1306,removed,46,0
1307,milk,46,0
1308,gladness,46,0
1309,sacrificed,46,0
1310,images,46,0
1311,sixth,46,0
1312,conceived,46,0
1313,smoke,46,0
1314,sojourn,45,0
1315,prosper,45,0
1316,vineyards,45,0
1317,created,45,0
1318,substance,45,0
1319,bondage,45,0
1320,asher,45,0
1321,abideth,45,0
1322,thick,45,0
1323,wouldest,45,0
1324,bars,45,0
1325,changed,45,0
1326,doest,45,0
1327,indignation,45,0
1328,dismayed,45,0
1329,lies,44,0
1330,asaph,44,0
1331,shekel,44,0
1332,repaired,44,0
1333,herself,44,1
1334,pestilence,44,0
1335,spirits,44,0
1336,pleasant,44,0
1337,prophesied,44,0
1338,jealousy,44,0
1339,array,44,0
1340,rejoiced,44,0
1341,shimei,44,0
1342,satisfied,44,0
1343,issachar,44,0
1344,profit,44,0
1345,glorified,44,0
1346,low,44,0
1347,ahaz,44,0
1348,eastward,44,0
1349,naked,44,0
1350,appoint,44,0
1351,sitteth,44,0
1352,broad,43,0
1353,restore,43,0
1354,wild,43,0
1355,root,43,0
1356,bosom,43,0
1357,along,43,0
1358,masters,43,0
1359,rachel,43,0
1360,fatherless,43,0
1361,gibeah,43,0
1362,instruments,43,0
1363,seeketh,43,0
1364,beauty,43,0
1365,piece,43,0
1366,thrust,43,0
1367,sworn,43,0
1368,met,43,0
1369,therewith,43,0
1370,mourn,43,0
1371,touching,43,0
1372,salt,43,0
1373,rings,43,0
1374,issue,43,0
1375,cubit,43,0
1376,zechariah,43,0
1377,balak,43,0
1378,preached,42,0
1379,benaiah,42,0
1380,hearing,42,0
1381,valor,42,0
1382,folly,42,0
1383,everything,42,0
1384,forgotten,42,0
1385,mark,42,0
1386,washed,42,0
1387,building,42,0
1388,judaea,42,0
1389,toucheth,42,0
1390,fountain,42,0
1391,nathan,42,0
1392,weak,42,0
1393,green,42,0
1394,repent,42,0
1395,aught,42,0
1396,passeth,42,0
1397,suffered,42,0
1398,defile,42,0
1399,divide,42,0
1400,covering,42,0
1401,assembled,42,0
1402,resurrection,42,0
1403,synagogue,42,0
1404,rebellious,42,0
1405,fools,42,0
1406,beat,42,0
1407,desert,42,0
1408,person,41,0
1409,scatter,41,0
1410,sayest,41,0
1411,paths,41,0
1412,lands,41,0
1413,faint,41,0
1414,profane,41,0
1415,execute,41,0
1416,shemaiah,41,0
1417,shout,41,0
1418,continual,41,0
1419,awake,41,0
1420,compassion,41,0
1421,bird,41,0
1422,horse,41,0
1423,judgments,41,0
1424,past,41,0
1425,angry,41,0
1426,play,41,0
1427,respect,41,0
1428,reckoned,41,0
1429,cleansed,41,0
1430,joined,41,0
1431,silence,41,0
1432,james,41,0
1433,ordinance,41,0
1434,fro,40,0
1435,cleanse,40,0
1436,render,40,0
1437,circumcision,40,0
1438,gilgal,40,0
1439,praises,40,0
1440,amaziah,40,0
1441,bury,40,0
1442,tribute,40,0
1443,diligently,40,0
1444,provoke,40,0
1445,means,40,0
1446,fierce,40,0
